id,n_rows,r_target_mean,g_target_mean,b_target_mean,r_pred_mean,g_pred_mean,b_pred_mean,mae_rgb_mean
135,3,200.0,225.0,143.0,199.0744261443615,224.68421339988708,144.89409800618887,1.0
136,3,165.0,53.0,53.0,164.62354689836502,42.83531680703163,43.703848868608475,6.333333333333333
137,3,48.0,156.0,227.0,42.99651429057121,159.62053015828133,229.55179274082184,3.888888888888889
138,3,38.0,116.0,35.0,30.51885023713112,118.22013637050986,27.189734876155853,5.888888888888889
139,3,175.0,220.0,245.0,174.15908202528954,217.09991917014122,244.06924560666084,1.6666666666666667
140,3,221.0,10.0,79.0,223.01717698574066,22.61692851781845,73.09728309512138,7.0
141,3,72.0,163.0,153.0,65.11656880378723,164.5088893175125,152.48503237962723,3.2222222222222228
142,3,113.0,38.0,207.0,113.33693353459239,35.264853835105896,208.05643990635872,1.4444444444444444
143,3,231.0,140.0,26.0,232.26809725165367,144.48935195803642,28.450927734375,2.555555555555556
144,3,137.0,91.0,163.0,141.41601702198386,87.51345112919807,161.2724408507347,3.2222222222222228
145,3,32.0,242.0,117.0,30.9119214117527,242.21869677305222,119.70451911911368,1.222222222222222
146,3,18.0,85.0,251.0,27.870959788560867,77.26683482527733,248.33891436457634,6.888888888888889
147,3,132.0,252.0,45.0,133.7518529780209,249.66122820973396,36.82646870613098,3.888888888888889
148,3,233.0,44.0,151.0,232.27977022528648,36.69748842716217,149.6148405596614,3.111111111111111
149,3,124.0,130.0,65.0,128.7074453360401,135.1660930737853,56.65432661771774,6.0
150,3,255.0,0.0,0.0,253.91955330967903,10.462386459112167,14.129678606987,8.444444444444445
151,3,0.0,255.0,255.0,14.502403140068054,255.0,251.89259514212608,5.777777777777779
152,3,255.0,255.0,255.0,252.74255633354187,255.0,252.5310368835926,1.4444444444444444
153,3,100.0,0.0,0.0,102.40079894661903,17.90806919336319,16.21269389986992,12.0
154,3,0.0,100.0,0.0,18.61994832754135,105.21005533635616,16.3736329972744,13.333333333333334
155,3,0.0,0.0,100.0,16.285913437604904,18.000738620758057,103.0584454908967,12.333333333333334
156,3,168.0,162.0,189.0,171.53516322374344,165.0812830030918,187.48160921037197,2.7777777777777772
157,3,173.0,175.0,211.0,176.28033466637135,175.10422304272652,211.95146396756172,1.3333333333333333
